id,Date,Product,Category,Region,Units_Sold,Revenue,Cost,Logistics_Cost,Overhead_Cost,Total_Cost,Net_Profit,Loss,Profit_Status,Loss_Percentage,Loss_Reason,Customer_Age,Gender,Season,Festival,Trend
13,2025-01-26,T-Shirt,Fashion,North,199,838188,876405,12522,7920,896847,0,58659,Loss,6.54,Off Season,32,Male,Spring,Diwali,Trending
14,2025-01-16,Refrigerator,Fashion,South,22,84304,101760,19044,12366,133170,0,48866,Loss,36.69,High Cost,47,Female,Winter,None,High Demand
15,2025-06-02,AC,Food,West,56,196168,226953,13006,5369,245328,0,49160,Loss,20.04,High Cost,30,Female,Summer,None,High Demand
16,2025-04-11,Saree,Accessories,West,98,477750,491174,16153,7944,515271,0,37521,Loss,7.28,Off Season,39,Female,Monsoon,Valentine,High Demand
17,2025-04-13,T-Shirt,Food,East,106,515584,526037,10008,12546,548591,0,33007,Loss,6.02,Off Season,30,Female,Spring,Holi,Stable
18,2025-04-08,Smartphone,Gift,North,51,180387,151300,17353,8871,177524,2863,0,Profit,0,None,38,Female,Spring,None,Stable
19,2025-06-21,Backpack,Fashion,West,87,258564,279238,18251,10791,308280,0,49716,Loss,16.13,Off Season,39,Male,Monsoon,None,Trending
20,2025-06-02,Umbrella,Food,East,156,407940,401848,8354,11259,421461,0,13521,Loss,3.21,High Logistics,38,Female,Spring,Valentine,High Demand
21,2025-05-14,Gift Hampers,Gift,North,126,587664,611424,16938,9110,637472,0,49808,Loss,7.81,High Logistics,27,Female,Summer,Diwali,Low Demand
22,2025-06-14,Smartphone,Gift,West,99,252747,208795,8512,7583,224890,27857,0,Profit,0,None,25,Male,Winter,None,Low Demand
23,2025-07-01,Jeans,Fashion,West,199,310838,286846,9536,7391,303773,7065,0,Profit,0,None,39,Male,Monsoon,Ugadi,High Demand
24,2025-02-28,Laptop,Gift,West,129,174924,176578,8809,13292,198679,0,23755,Loss,11.96,Off Season,49,Male,Monsoon,Holi,Trending
25,2025-07-10,Mobile,Electronics,East,138,442152,472000,12225,11850,496075,0,53923,Loss,10.87,Off Season,39,Female,Spring,Ugadi,Trending
26,2025-05-26,Fan,Electronics,South,60,172260,189087,8571,10836,208494,0,36234,Loss,17.38,High Logistics,19,Male,Monsoon,Ugadi,Stable
27,2025-03-18,Refrigerator,Fashion,West,89,351372,329580,16737,13203,359520,0,8148,Loss,2.27,Low Sales,24,Female,Winter,Ugadi,Stable
28,2025-06-15,Jeans,Gift,West,84,188328,162139,15308,12571,190018,0,1690,Loss,0.89,Off Season,21,Male,Summer,Valentine,Stable
29,2025-07-12,Umbrella,Accessories,West,45,91890,59035,17069,10223,86327,5563,0,Profit,0,None,50,Male,Spring,None,Trending
30,2025-07-15,TV,Fashion,North,177,430287,479648,12229,6098,497975,0,67688,Loss,13.59,Low Sales,27,Male,Monsoon,Ugadi,Stable
31,2025-03-21,T-Shirt,Electronics,North,34,103700,133204,6825,8064,148093,0,44393,Loss,29.98,Low Sales,46,Female,Monsoon,Diwali,High Demand
32,2025-02-24,Fan,Food,North,115,219880,262416,5710,11481,279607,0,59727,Loss,21.36,High Logistics,40,Female,Summer,Valentine,High Demand
33,2025-02-24,Raincoat,Gift,West,156,456144,459694,15855,13132,488681,0,32537,Loss,6.66,Off Season,38,Male,Summer,Diwali,Stable
34,2025-05-30,Raincoat,Fashion,South,176,496320,505875,8382,10434,524691,0,28371,Loss,5.41,High Logistics,46,Female,Spring,Diwali,Seasonal Spike
35,2025-02-11,T-Shirt,Accessories,South,136,305864,265089,5394,14785,285268,20596,0,Profit,0,None,41,Male,Summer,Holi,Stable
36,2025-07-15,T-Shirt,Fashion,East,24,92568,71660,16547,11667,99874,0,7306,Loss,7.32,High Cost,27,Female,Monsoon,Holi,Stable
37,2025-01-21,Sweets,Electronics,South,30,88230,103295,7761,10968,122024,0,33794,Loss,27.69,Low Sales,50,Male,Spring,Diwali,Low Demand
38,2025-04-30,TV,Fashion,South,96,263232,242737,6213,14534,263484,0,252,Loss,0.1,High Logistics,50,Female,Summer,Valentine,Stable
39,2025-02-23,Jeans,Food,South,27,73224,27965,14728,5239,47932,25292,0,Profit,0,None,35,Female,Winter,Diwali,Trending
40,2025-04-18,TV,Gift,West,43,189544,188630,14744,13937,217311,0,27767,Loss,12.78,High Logistics,18,Female,Spring,Diwali,Trending
41,2025-01-15,AC,Accessories,East,138,653292,652117,5571,13499,671187,0,17895,Loss,2.67,High Logistics,38,Male,Monsoon,Diwali,Seasonal Spike
42,2025-03-11,Raincoat,Accessories,South,128,263808,300438,19461,11214,331113,0,67305,Loss,20.33,Low Sales,33,Male,Spring,Valentine,Trending
43,2025-07-04,Sweets,Electronics,West,180,398520,390081,10755,13818,414654,0,16134,Loss,3.89,Low Sales,26,Female,Monsoon,None,Low Demand
44,2025-01-18,Smartphone,Accessories,South,197,289787,336434,16939,9714,363087,0,73300,Loss,20.19,Low Sales,26,Female,Summer,Diwali,Low Demand
45,2025-06-21,Saree,Gift,East,46,220110,207301,12233,13359,232893,0,12783,Loss,5.49,Off Season,23,Male,Spring,Ugadi,Low Demand
46,2025-03-25,Mobile,Gift,East,64,299456,340420,7083,6837,354340,0,54884,Loss,15.49,High Logistics,47,Male,Summer,Holi,Trending
47,2025-06-23,Mobile,Gift,North,136,225488,244341,12350,8680,265371,0,39883,Loss,15.03,Off Season,19,Female,Monsoon,Holi,Seasonal Spike
48,2025-06-06,Watch,Accessories,South,137,341541,292814,5131,11628,309573,31968,0,Profit,0,None,21,Female,Monsoon,Valentine,Trending
49,2025-07-16,Refrigerator,Fashion,South,29,44631,-4913,10095,11020,16202,28429,0,Profit,0,None,25,Male,Monsoon,Ugadi,High Demand
50,2025-03-15,Headphones,Accessories,West,84,134736,124059,6871,10931,141861,0,7125,Loss,5.02,Off Season,41,Male,Summer,Valentine,Stable
51,2025-03-07,Shoes,Gift,West,84,326676,293269,16478,13832,323579,3097,0,Profit,0,None,21,Female,Spring,Diwali,Low Demand
52,2025-07-20,AC,Food,South,27,67230,86817,12446,14066,113329,0,46099,Loss,40.68,High Cost,26,Male,Winter,Diwali,Trending
53,2025-02-25,AC,Electronics,West,126,411138,440102,10692,10609,461403,0,50265,Loss,10.89,Off Season,38,Female,Monsoon,Holi,Low Demand
54,2025-02-12,Gift Hampers,Gift,East,138,515706,471746,17812,14164,503722,11984,0,Profit,0,None,18,Female,Monsoon,Valentine,Seasonal Spike
55,2025-04-28,T-Shirt,Electronics,East,82,99302,102114,6246,8217,116577,0,17275,Loss,14.82,Low Sales,31,Male,Summer,None,Stable
56,2025-02-24,Refrigerator,Gift,East,86,224890,242491,18384,5350,266225,0,41335,Loss,15.53,Low Sales,45,Female,Monsoon,Valentine,Stable
57,2025-06-05,Gift Hampers,Fashion,South,151,448168,452001,11223,13678,476902,0,28734,Loss,6.03,Low Sales,40,Female,Winter,Valentine,Stable
58,2025-01-03,Cooler,Food,West,191,559248,569598,19217,8086,596901,0,37653,Loss,6.31,High Cost,23,Female,Monsoon,Ugadi,Trending
59,2025-05-19,Refrigerator,Electronics,East,116,415396,457050,6249,5449,468748,0,53352,Loss,11.38,High Logistics,36,Male,Winter,Diwali,Stable
60,2025-06-27,Headphones,Gift,North,169,681239,684021,19465,11169,714655,0,33416,Loss,4.68,Low Sales,35,Female,Winter,Diwali,Low Demand
61,2025-01-16,Laptop,Food,East,123,221277,202611,10034,5376,218021,3256,0,Profit,0,None,26,Female,Spring,Holi,Stable
62,2025-06-10,Cooler,Accessories,North,45,117360,102421,11024,9531,122976,0,5616,Loss,4.57,Low Sales,46,Male,Spring,Ugadi,Stable
63,2025-04-29,Watch,Electronics,South,192,310848,339840,8867,9397,358104,0,47256,Loss,13.2,Off Season,33,Female,Winter,Valentine,Trending
64,2025-03-17,Smartphone,Accessories,East,200,525400,564246,12767,9392,586405,0,61005,Loss,10.4,High Logistics,20,Male,Winter,None,Low Demand
65,2025-05-16,Headphones,Gift,North,52,140036,176184,16222,12497,204903,0,64867,Loss,31.66,High Logistics,46,Male,Monsoon,Holi,Trending
66,2025-06-19,Laptop,Fashion,North,183,331413,313890,10786,9163,333839,0,2426,Loss,0.73,Off Season,49,Female,Winter,None,Low Demand
67,2025-06-01,AC,Accessories,East,47,186731,190218,15295,10664,216177,0,29446,Loss,13.62,Low Sales,48,Male,Summer,Diwali,Stable
68,2025-05-28,Headphones,Gift,West,64,226496,218416,7396,12339,238151,0,11655,Loss,4.89,Low Sales,46,Female,Monsoon,Valentine,High Demand
69,2025-04-23,Smartphone,Fashion,East,193,896485,874574,5272,8511,888357,8128,0,Profit,0,None,43,Female,Winter,Diwali,Seasonal Spike
70,2025-07-11,Headphones,Fashion,North,133,410970,413950,15964,13310,443224,0,32254,Loss,7.28,High Logistics,37,Male,Spring,Diwali,Trending
71,2025-05-29,Laptop,Gift,South,130,483080,502257,16953,6115,525325,0,42245,Loss,8.04,Off Season,27,Female,Summer,Ugadi,Low Demand
72,2025-02-06,Headphones,Gift,North,142,455110,482843,17602,12476,512921,0,57811,Loss,11.27,Off Season,45,Male,Spring,None,Trending
73,2025-06-20,Raincoat,Electronics,West,108,498744,480120,8496,7144,495760,2984,0,Profit,0,None,37,Female,Monsoon,Holi,Stable
74,2025-07-01,Refrigerator,Food,South,33,55473,38307,19313,5828,63448,0,7975,Loss,12.57,High Logistics,21,Female,Monsoon,None,Seasonal Spike
75,2025-02-10,Shoes,Food,South,131,443697,462165,11868,14564,488597,0,44900,Loss,9.19,High Cost,42,Female,Monsoon,None,Stable
76,2025-01-23,Watch,Accessories,West,29,133110,143903,15153,12164,171220,0,38110,Loss,22.26,High Logistics,40,Female,Spring,Diwali,Trending
77,2025-04-10,T-Shirt,Fashion,North,110,348480,315875,17542,13184,346601,1879,0,Profit,0,None,27,Female,Spring,Diwali,Trending
78,2025-03-19,Fan,Electronics,North,71,320849,358943,18450,6959,384352,0,63503,Loss,16.52,Off Season,29,Female,Summer,Holi,High Demand
79,2025-01-08,Saree,Gift,West,121,164923,204369,5957,13155,223481,0,58558,Loss,26.2,Off Season,46,Female,Spring,Holi,High Demand
80,2025-01-02,Smartphone,Food,South,177,235587,220639,15942,6214,242795,0,7208,Loss,2.97,Low Sales,26,Male,Monsoon,None,Low Demand
81,2025-01-03,Laptop,Food,East,149,499746,479464,6510,5837,491811,7935,0,Profit,0,None,20,Female,Winter,Ugadi,Trending
82,2025-05-03,Sweets,Electronics,North,115,200675,165383,18463,7516,191362,9313,0,Profit,0,None,46,Male,Monsoon,Valentine,Trending
83,2025-02-24,Raincoat,Gift,South,32,155424,134487,15934,7446,157867,0,2443,Loss,1.55,High Logistics,46,Female,Summer,Holi,Stable
84,2025-02-20,Laptop,Gift,South,149,521649,565963,16220,7093,589276,0,67627,Loss,11.48,High Cost,25,Female,Spring,Valentine,Seasonal Spike
85,2025-03-26,Saree,Fashion,North,132,249348,247938,14991,11240,274169,0,24821,Loss,9.05,Low Sales,42,Male,Monsoon,None,Low Demand
86,2025-01-12,Refrigerator,Food,East,105,482580,488742,17614,10951,517307,0,34727,Loss,6.71,High Logistics,25,Male,Spring,Holi,Stable
87,2025-04-21,Shoes,Gift,West,49,130438,151372,7066,7790,166228,0,35790,Loss,21.53,High Cost,46,Male,Spring,None,Trending
88,2025-01-23,Cooler,Electronics,West,192,316800,268586,9854,7727,286167,30633,0,Profit,0,None,20,Male,Summer,None,Seasonal Spike
89,2025-06-07,Jeans,Food,East,32,115648,72023,9634,5607,87264,28384,0,Profit,0,None,46,Female,Summer,Holi,Seasonal Spike
90,2025-04-21,Sweets,Gift,West,37,79032,88143,17931,10906,116980,0,37948,Loss,32.44,High Cost,48,Male,Winter,Valentine,Seasonal Spike
91,2025-01-24,Mobile,Electronics,North,79,227362,181163,17361,7631,206155,21207,0,Profit,0,None,37,Male,Winter,None,Stable
92,2025-05-05,TV,Gift,North,48,179472,145311,9484,12148,166943,12529,0,Profit,0,None,45,Male,Winter,None,Low Demand
93,2025-06-06,Raincoat,Accessories,South,83,360801,396815,6090,12441,415346,0,54545,Loss,13.13,High Logistics,20,Male,Spring,Ugadi,High Demand
94,2025-01-29,Headphones,Accessories,North,167,384434,431779,14194,12823,458796,0,74362,Loss,16.21,Off Season,48,Male,Summer,Ugadi,Seasonal Spike
95,2025-05-13,Sweets,Electronics,North,162,594864,634630,19993,14991,669614,0,74750,Loss,11.16,High Logistics,26,Female,Winter,Ugadi,Seasonal Spike
96,2025-07-17,Sweets,Food,South,76,195548,211465,14560,14762,240787,0,45239,Loss,18.79,Low Sales,35,Female,Monsoon,None,Low Demand
97,2025-01-19,Umbrella,Food,South,174,253692,261206,14826,6347,282379,0,28687,Loss,10.16,Low Sales,20,Female,Summer,None,High Demand
98,2025-06-05,Cooler,Accessories,South,129,148092,138492,9388,14877,162757,0,14665,Loss,9.01,Low Sales,31,Male,Monsoon,Ugadi,Low Demand
99,2025-01-14,Umbrella,Accessories,West,46,214636,213406,9198,6950,229554,0,14918,Loss,6.5,High Logistics,45,Female,Monsoon,Valentine,Trending
100,2025-05-13,Shoes,Gift,West,33,86592,76979,13980,10043,101002,0,14410,Loss,14.27,Low Sales,28,Female,Monsoon,Diwali,Trending
101,2025-05-26,Shoes,Fashion,East,22,71478,36756,19161,11878,67795,3683,0,Profit,0,None,48,Male,Monsoon,None,Trending
102,2025-05-12,Sweets,Accessories,South,174,418470,441381,9859,10508,461748,0,43278,Loss,9.37,Off Season,35,Female,Monsoon,Valentine,Stable
103,2025-01-29,Jeans,Fashion,West,34,150960,185164,9546,12452,207162,0,56202,Loss,27.13,Off Season,48,Male,Monsoon,None,Low Demand
104,2025-02-14,Raincoat,Accessories,North,191,872297,905648,16135,7017,928800,0,56503,Loss,6.08,Low Sales,23,Female,Winter,Diwali,Trending
105,2025-01-19,Smartphone,Electronics,South,155,383470,361906,6164,5828,373898,9572,0,Profit,0,None,33,Male,Spring,Valentine,Trending
106,2025-04-14,Refrigerator,Food,West,25,37825,20431,5865,6283,32579,5246,0,Profit,0,None,41,Male,Spring,Holi,Seasonal Spike
107,2025-01-06,Laptop,Electronics,South,61,220759,257049,16692,11288,285029,0,64270,Loss,22.55,High Cost,40,Male,Winter,Valentine,High Demand
108,2025-04-18,Smartphone,Fashion,West,65,221260,264533,19088,8084,291705,0,70445,Loss,24.15,Off Season,47,Male,Summer,Diwali,Trending
109,2025-03-10,Shoes,Accessories,North,120,562440,576937,14389,10794,602120,0,39680,Loss,6.59,High Cost,39,Female,Summer,Holi,Seasonal Spike
110,2025-06-03,Raincoat,Electronics,North,150,733800,684474,12400,10379,707253,26547,0,Profit,0,None,26,Male,Winter,Diwali,Low Demand
111,2025-07-09,Laptop,Food,North,73,126582,107188,5116,10321,122625,3957,0,Profit,0,None,18,Female,Spring,Valentine,Trending
112,2025-01-15,T-Shirt,Electronics,South,69,303324,297168,8647,13465,319280,0,15956,Loss,5.0,High Cost,29,Female,Summer,Holi,Low Demand
113,2025-07-09,Sweets,Accessories,North,146,500342,471134,11469,12711,495314,5028,0,Profit,0,None,29,Female,Summer,Valentine,Trending
114,2025-05-29,Shoes,Fashion,North,100,145700,97230,9582,5522,112334,33366,0,Profit,0,None,34,Female,Winter,Diwali,Low Demand
115,2025-02-24,Laptop,Accessories,North,39,166413,124214,14675,8825,147714,18699,0,Profit,0,None,21,Male,Summer,Diwali,Stable
116,2025-04-04,Mobile,Food,North,124,142352,149560,18373,12919,180852,0,38500,Loss,21.29,High Logistics,18,Female,Monsoon,None,Low Demand
117,2025-01-28,Umbrella,Food,North,116,478848,444785,19212,14119,478116,732,0,Profit,0,None,21,Male,Summer,None,Low Demand
118,2025-01-07,Refrigerator,Food,West,150,492300,463093,12848,11847,487788,4512,0,Profit,0,None,23,Female,Spring,Holi,Trending
119,2025-01-30,T-Shirt,Electronics,South,68,73848,61481,8176,12037,81694,0,7846,Loss,9.6,High Cost,22,Female,Spring,Holi,Stable
120,2025-02-22,Refrigerator,Electronics,East,27,118908,148196,16844,7120,172160,0,53252,Loss,30.93,High Logistics,42,Female,Summer,Ugadi,High Demand
121,2025-06-10,Raincoat,Electronics,South,59,70151,20221,8813,6291,35325,34826,0,Profit,0,None,23,Female,Monsoon,Holi,Stable
122,2025-01-29,Headphones,Electronics,North,166,419980,437589,17374,7519,462482,0,42502,Loss,9.19,High Logistics,32,Female,Monsoon,Diwali,Stable
123,2025-01-21,Fan,Fashion,South,142,414924,415080,13074,13361,441515,0,26591,Loss,6.02,Low Sales,34,Female,Winter,Ugadi,Stable
124,2025-07-19,Mobile,Gift,East,128,443776,394010,10913,9362,414285,29491,0,Profit,0,None,49,Female,Spring,Holi,Trending
125,2025-03-28,Jeans,Food,North,124,370016,399815,8521,11395,419731,0,49715,Loss,11.84,Low Sales,38,Female,Monsoon,Holi,Seasonal Spike
126,2025-01-14,TV,Electronics,East,187,832524,859422,11465,11102,881989,0,49465,Loss,5.61,High Logistics,21,Female,Spring,Valentine,Seasonal Spike
127,2025-06-01,Mobile,Accessories,West,71,278178,231397,17445,5156,253998,24180,0,Profit,0,None,18,Female,Spring,Diwali,Low Demand
128,2025-05-01,Raincoat,Accessories,East,105,196455,190854,6657,6380,203891,0,7436,Loss,3.65,Off Season,39,Female,Spring,None,High Demand
129,2025-02-06,Backpack,Gift,East,146,155490,203201,8351,12860,224412,0,68922,Loss,30.71,High Cost,23,Female,Monsoon,Ugadi,Trending
130,2025-03-11,Refrigerator,Gift,West,54,199044,203765,18458,8310,230533,0,31489,Loss,13.66,Low Sales,42,Female,Winter,Holi,Stable
131,2025-05-21,Backpack,Electronics,East,100,227000,263184,16439,13350,292973,0,65973,Loss,22.52,High Cost,20,Male,Monsoon,None,Low Demand
132,2025-02-07,Umbrella,Gift,East,195,643110,672609,11159,10129,693897,0,50787,Loss,7.32,High Cost,26,Female,Winter,Valentine,High Demand
133,2025-05-21,Backpack,Gift,South,26,125294,97557,11286,11805,120648,4646,0,Profit,0,None,21,Male,Summer,Holi,High Demand
134,2025-01-24,Umbrella,Accessories,West,113,207920,168953,9060,13607,191620,16300,0,Profit,0,None,29,Female,Winter,Holi,Trending
135,2025-04-27,Saree,Food,South,47,198058,214948,9555,14991,239494,0,41436,Loss,17.3,Low Sales,22,Male,Monsoon,Valentine,Low Demand
136,2025-07-14,Headphones,Fashion,East,64,305536,297809,18247,12996,329052,0,23516,Loss,7.15,High Cost,26,Male,Winter,Holi,High Demand
137,2025-04-21,Shoes,Electronics,East,118,273288,283555,14393,5027,302975,0,29687,Loss,9.8,High Cost,26,Female,Summer,Ugadi,Seasonal Spike
138,2025-01-06,Umbrella,Food,North,109,373434,333986,14956,9815,358757,14677,0,Profit,0,None,37,Male,Winter,None,Stable
139,2025-01-18,Mobile,Gift,West,144,485856,477762,10680,11229,499671,0,13815,Loss,2.76,Off Season,48,Female,Winter,None,High Demand
140,2025-06-05,Smartphone,Food,East,58,234610,245600,10700,5384,261684,0,27074,Loss,10.35,Low Sales,23,Female,Spring,Valentine,High Demand
141,2025-06-29,Watch,Electronics,West,165,411675,438592,14525,11977,465094,0,53419,Loss,11.49,Off Season,48,Female,Monsoon,None,Trending
142,2025-03-12,T-Shirt,Electronics,South,23,26473,5540,5094,9855,20489,5984,0,Profit,0,None,30,Male,Monsoon,Ugadi,Low Demand
143,2025-02-09,Cooler,Food,South,120,394440,405512,7167,12468,425147,0,30707,Loss,7.22,High Logistics,28,Male,Winter,Valentine,High Demand
144,2025-05-13,Watch,Gift,North,134,619080,638261,10463,8285,657009,0,37929,Loss,5.77,High Cost,48,Female,Spring,Valentine,High Demand
145,2025-05-02,Cooler,Food,North,92,222364,259561,16174,10715,286450,0,64086,Loss,22.37,Low Sales,36,Male,Summer,Diwali,Seasonal Spike
146,2025-05-30,T-Shirt,Fashion,South,29,96454,133581,9747,10207,153535,0,57081,Loss,37.18,High Logistics,46,Male,Spring,Valentine,Trending
147,2025-04-16,Fan,Electronics,South,135,446445,436569,8640,11015,456224,0,9779,Loss,2.14,High Cost,27,Male,Summer,Diwali,High Demand
148,2025-02-21,Jeans,Gift,North,49,130438,158345,17859,12230,188434,0,57996,Loss,30.78,High Logistics,26,Female,Monsoon,Holi,Stable
149,2025-06-20,Cooler,Fashion,West,123,273798,266008,17656,7822,291486,0,17688,Loss,6.07,High Cost,28,Male,Winter,Holi,High Demand
150,2025-02-23,Smartphone,Accessories,West,27,53865,33730,18469,14550,66749,0,12884,Loss,19.3,High Logistics,41,Male,Winter,None,Seasonal Spike
151,2025-06-02,Fan,Food,South,192,350784,342049,14019,13251,369319,0,18535,Loss,5.02,Low Sales,25,Male,Spring,None,Seasonal Spike
152,2025-03-11,AC,Fashion,South,44,112552,103847,14150,10184,128181,0,15629,Loss,12.19,Off Season,48,Female,Monsoon,Holi,Seasonal Spike
153,2025-05-03,Gift Hampers,Food,North,154,156156,176879,18901,14476,210256,0,54100,Loss,25.73,High Cost,21,Male,Winter,Diwali,Trending
154,2025-04-29,Shoes,Electronics,East,166,461480,509294,5283,12890,527467,0,65987,Loss,12.51,High Cost,21,Male,Summer,Diwali,Low Demand
155,2025-04-14,Headphones,Gift,West,33,86658,124084,16465,7783,148332,0,61674,Loss,41.58,High Cost,26,Female,Summer,Valentine,Seasonal Spike
156,2025-06-25,Saree,Gift,East,83,275726,293598,16478,8603,318679,0,42953,Loss,13.48,Low Sales,21,Female,Winter,None,Seasonal Spike
157,2025-04-05,Refrigerator,Electronics,East,194,233964,195953,15640,14046,225639,8325,0,Profit,0,None,18,Female,Winter,Holi,High Demand
158,2025-05-27,Refrigerator,Electronics,West,103,323935,279590,17593,14171,311354,12581,0,Profit,0,None,23,Female,Summer,None,Seasonal Spike
159,2025-05-23,Laptop,Food,East,145,505180,518243,12176,13357,543776,0,38596,Loss,7.1,High Logistics,36,Male,Winter,None,Trending
160,2025-03-09,T-Shirt,Food,East,177,652953,643681,7615,5622,656918,0,3965,Loss,0.6,High Cost,35,Male,Spring,Ugadi,Trending
161,2025-05-18,Saree,Food,East,115,213900,226787,14564,14900,256251,0,42351,Loss,16.53,Off Season,37,Male,Summer,None,High Demand
162,2025-03-06,T-Shirt,Electronics,East,76,88844,86601,9307,14915,110823,0,21979,Loss,19.83,Low Sales,41,Female,Spring,Holi,Seasonal Spike
163,2025-01-19,Laptop,Food,West,29,76299,97788,18295,5273,121356,0,45057,Loss,37.13,High Logistics,23,Male,Monsoon,Holi,Stable
164,2025-02-18,Umbrella,Accessories,East,130,473460,463766,11961,7288,483015,0,9555,Loss,1.98,Off Season,28,Female,Winter,Diwali,Low Demand
165,2025-05-02,Gift Hampers,Electronics,North,88,109912,70604,10711,14587,95902,14010,0,Profit,0,None,35,Male,Spring,Valentine,Trending
166,2025-06-05,Shoes,Gift,North,65,179725,195124,7268,14568,216960,0,37235,Loss,17.16,Off Season,34,Female,Winter,Valentine,High Demand
167,2025-01-23,Headphones,Fashion,West,180,776340,784846,13762,6250,804858,0,28518,Loss,3.54,Low Sales,19,Female,Winter,Valentine,Low Demand
168,2025-01-06,Headphones,Accessories,South,112,377552,385635,19047,5451,410133,0,32581,Loss,7.94,High Cost,40,Male,Summer,Ugadi,Low Demand
169,2025-05-22,Watch,Fashion,North,108,109296,138158,14633,11676,164467,0,55171,Loss,33.55,Off Season,42,Female,Winter,Diwali,Stable
170,2025-02-21,TV,Fashion,South,138,512256,541136,16073,8579,565788,0,53532,Loss,9.46,High Logistics,25,Male,Monsoon,Holi,Seasonal Spike
171,2025-03-27,Saree,Food,West,58,283446,240659,15016,12894,268569,14877,0,Profit,0,None,26,Male,Winter,Valentine,High Demand
172,2025-06-28,Watch,Food,North,34,119272,125243,10967,9544,145754,0,26482,Loss,18.17,High Cost,21,Female,Monsoon,Ugadi,High Demand
173,2025-03-18,Umbrella,Food,East,57,209019,199535,9820,13203,222558,0,13539,Loss,6.08,Low Sales,31,Female,Spring,None,Low Demand
174,2025-03-09,Sweets,Fashion,East,148,285640,242182,9258,11229,262669,22971,0,Profit,0,None,24,Male,Summer,Ugadi,Seasonal Spike
175,2025-05-27,Umbrella,Gift,West,146,606338,580930,12035,7269,600234,6104,0,Profit,0,None,36,Female,Monsoon,Holi,Seasonal Spike
176,2025-02-11,Backpack,Food,East,174,376188,352804,17079,6725,376608,0,420,Loss,0.11,High Logistics,31,Male,Monsoon,Valentine,High Demand
177,2025-06-08,Fan,Food,North,26,104182,95765,19136,12824,127725,0,23543,Loss,18.43,Low Sales,20,Male,Summer,None,High Demand
178,2025-03-19,Smartphone,Fashion,West,188,780764,746173,17451,12377,776001,4763,0,Profit,0,None,50,Female,Winter,Valentine,Seasonal Spike
179,2025-07-13,Backpack,Fashion,West,196,332024,323186,7289,6524,336999,0,4975,Loss,1.48,High Logistics,45,Male,Summer,Holi,Trending
180,2025-05-25,Shoes,Accessories,North,64,149312,130013,8676,10569,149258,54,0,Profit,0,None,37,Female,Winter,None,Trending
181,2025-06-06,TV,Electronics,North,189,346437,333079,5217,10702,348998,0,2561,Loss,0.73,Low Sales,46,Female,Winter,Ugadi,Seasonal Spike
182,2025-04-29,Laptop,Fashion,South,102,209916,220416,18681,14226,253323,0,43407,Loss,17.14,Off Season,44,Male,Monsoon,None,High Demand
183,2025-05-27,Laptop,Food,South,109,373979,324190,13428,9856,347474,26505,0,Profit,0,None,44,Male,Summer,None,Seasonal Spike
184,2025-06-24,Watch,Food,North,59,102719,64438,16421,9083,89942,12777,0,Profit,0,None,34,Female,Spring,Ugadi,High Demand
185,2025-05-11,Raincoat,Accessories,East,23,103385,82296,14329,5763,102388,997,0,Profit,0,None,19,Male,Winter,Holi,Low Demand
186,2025-05-17,Saree,Gift,North,107,271138,266230,12181,7869,286280,0,15142,Loss,5.29,Low Sales,35,Female,Winter,Holi,High Demand
